Filename,Particip_ID,Pgph,DefaultLang,CS_cond,Region,nsyll,duration,speechrate,List,Dom_lang,Eng_sprint,Span_sprint,Dom_Sprint,Nondom_Sprint,BLI_Score,Eng_AOA
b19_eop1_longestoverlap_ISI_5_test,b19,p1,Eng,single,5,15,3.62,4.14,4,Eng,72,58,72,58,0.805555556,0
b19_eop1_longestoverlap_ISI_6_test,b19,p1,Eng,single,6,4,1.04,3.84,4,Eng,72,58,72,58,0.805555556,0
b19_eop1_longestoverlap_ISI_7_test,b19,p1,Eng,single,7,2,0.78,2.56,4,Eng,72,58,72,58,0.805555556,0
b19_eop1_longestoverlap_ISI_8_test,b19,p1,Eng,single,8,15,2.98,5.03,4,Eng,72,58,72,58,0.805555556,0
b19_eop1_longestoverlap_ISI_9_test,b19,p1,Eng,single,9,10,2.42,4.13,4,Eng,72,58,72,58,0.805555556,0
b19_eop1_longestoverlap_ISI_10_test,b19,p1,Eng,single,10,10,2.04,4.9,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_0_test,b19,p2,Eng,mixed,0,9,2.32,3.88,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_1_test,b19,p2,Eng,mixed,1,11,2.4,4.58,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_2_test,b19,p2,Eng,mixed,2,5,1.12,4.46,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_3_test,b19,p2,Eng,mixed,3,2,0.64,3.12,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_4_test,b19,p2,Eng,mixed,4,7,1.5,4.67,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_5_test,b19,p2,Eng,mixed,5,15,3,5,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_6_test,b19,p2,Eng,mixed,6,2,0.76,2.63,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_7_test,b19,p2,Eng,mixed,7,6,1.74,3.45,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_8_test,b19,p2,Eng,mixed,8,5,0.92,5.43,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_9_test,b19,p2,Eng,mixed,9,13,2.54,5.12,4,Eng,72,58,72,58,0.805555556,0
b19_edp2_longestoverlap_ISI_10_test,b19,p2,Eng,mixed,10,5,1.22,4.1,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_0_test,b19,p2,Eng,single,0,11,2.14,5.14,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_1_test,b19,p2,Eng,single,1,11,2.36,4.66,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_2_test,b19,p2,Eng,single,2,4,1.02,3.92,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_3_test,b19,p2,Eng,single,3,2,0.56,3.57,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_4_test,b19,p2,Eng,single,4,8,1.42,5.63,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_5_test,b19,p2,Eng,single,5,15,3.16,4.75,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_6_test,b19,p2,Eng,single,6,2,0.62,3.22,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_7_test,b19,p2,Eng,single,7,6,2.06,2.91,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_8_test,b19,p2,Eng,single,8,4,0.88,4.54,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_9_test,b19,p2,Eng,single,9,13,2.5,5.2,4,Eng,72,58,72,58,0.805555556,0
b19_eop2_longestoverlap_ISI_10_test,b19,p2,Eng,single,10,6,1.46,4.11,4,Eng,72,58,72,58,0.805555556,0
b2_edp1_longestoverlap_ISI_0_test,b2,p1,Eng,mixed,0,7,1.98,3.53,3,Eng,66,44,66,44,0.666666667,6
